,NL_Confirmed,NL_Deaths,NL_Recovered,NL_Active,Date
468,101,3,98,0,2020-06-17 00:00:00+00:00
469,7,0,7,0,2020-06-17 00:00:00+00:00
470,23,1,19,3,2020-06-17 00:00:00+00:00
471,77,15,62,0,2020-06-17 00:00:00+00:00
472,49319,6078,0,43241,2020-06-18 00:00:00+00:00
473,101,3,98,0,2020-06-18 00:00:00+00:00
474,7,0,7,0,2020-06-18 00:00:00+00:00
475,23,1,19,3,2020-06-18 00:00:00+00:00
476,77,15,62,0,2020-06-18 00:00:00+00:00
477,49426,6081,0,43345,2020-06-19 00:00:00+00:00
478,101,3,98,0,2020-06-19 00:00:00+00:00
479,7,0,7,0,2020-06-19 00:00:00+00:00
480,23,1,19,3,2020-06-19 00:00:00+00:00
481,77,15,62,0,2020-06-19 00:00:00+00:00
482,49502,6089,0,43413,2020-06-20 00:00:00+00:00
483,101,3,98,0,2020-06-20 00:00:00+00:00
484,7,0,7,0,2020-06-20 00:00:00+00:00
485,23,1,19,3,2020-06-20 00:00:00+00:00
486,77,15,62,0,2020-06-20 00:00:00+00:00
487,49593,6090,0,43503,2020-06-21 00:00:00+00:00
488,101,3,98,0,2020-06-21 00:00:00+00:00
489,7,0,7,0,2020-06-21 00:00:00+00:00
490,23,1,19,3,2020-06-21 00:00:00+00:00
491,77,15,62,0,2020-06-21 00:00:00+00:00
492,49658,6090,0,43568,2020-06-22 00:00:00+00:00
493,101,3,98,0,2020-06-22 00:00:00+00:00
494,7,0,7,0,2020-06-22 00:00:00+00:00
495,23,1,19,3,2020-06-22 00:00:00+00:00
496,77,15,62,0,2020-06-22 00:00:00+00:00
497,49722,6095,0,43627,2020-06-23 00:00:00+00:00
498,101,3,98,0,2020-06-23 00:00:00+00:00
499,7,0,7,0,2020-06-23 00:00:00+00:00
