,GB_Confirmed,GB_Deaths,GB_Recovered,GB_Active,Date
466,110,6,44,60,2020-04-27 00:00:00+00:00
467,6,1,3,2,2020-04-27 00:00:00+00:00
468,70,1,8,61,2020-04-27 00:00:00+00:00
469,525,35,352,138,2020-04-27 00:00:00+00:00
470,13,0,11,2,2020-04-27 00:00:00+00:00
471,141,0,131,10,2020-04-27 00:00:00+00:00
472,308,20,248,40,2020-04-27 00:00:00+00:00
473,11,1,2,8,2020-04-27 00:00:00+00:00
474,12,1,5,6,2020-04-27 00:00:00+00:00
475,161145,25302,0,135843,2020-04-28 00:00:00+00:00
476,3,0,3,0,2020-04-28 00:00:00+00:00
477,110,6,44,60,2020-04-28 00:00:00+00:00
478,6,1,3,2,2020-04-28 00:00:00+00:00
479,70,1,10,59,2020-04-28 00:00:00+00:00
480,530,36,352,142,2020-04-28 00:00:00+00:00
481,13,0,11,2,2020-04-28 00:00:00+00:00
482,141,0,131,10,2020-04-28 00:00:00+00:00
483,309,21,252,36,2020-04-28 00:00:00+00:00
484,11,1,2,8,2020-04-28 00:00:00+00:00
485,12,1,5,6,2020-04-28 00:00:00+00:00
486,165221,26097,0,139124,2020-04-29 00:00:00+00:00
487,3,0,3,0,2020-04-29 00:00:00+00:00
488,111,6,48,57,2020-04-29 00:00:00+00:00
489,6,1,3,2,2020-04-29 00:00:00+00:00
490,73,1,10,62,2020-04-29 00:00:00+00:00
491,537,38,386,113,2020-04-29 00:00:00+00:00
492,13,0,11,2,2020-04-29 00:00:00+00:00
493,141,0,131,10,2020-04-29 00:00:00+00:00
494,313,21,258,34,2020-04-29 00:00:00+00:00
495,11,1,2,8,2020-04-29 00:00:00+00:00
496,12,1,5,6,2020-04-29 00:00:00+00:00
497,171253,26771,0,144482,2020-04-30 00:00:00+00:00
498,3,0,3,0,2020-04-30 00:00:00+00:00
499,114,6,48,60,2020-04-30 00:00:00+00:00
500,6,1,3,2,2020-04-30 00:00:00+00:00
501,73,1,10,62,2020-04-30 00:00:00+00:00
502,537,40,386,111,2020-04-30 00:00:00+00:00
503,13,0,11,2,2020-04-30 00:00:00+00:00
504,144,0,131,13,2020-04-30 00:00:00+00:00
