,CN_Confirmed,CN_Deaths,CN_Recovered,CN_Active,Date
317,23,0,1,22,2020-02-01 00:00:00+00:00
318,202,0,6,196,2020-02-01 00:00:00+00:00
319,286,0,9,277,2020-02-01 00:00:00+00:00
320,17,0,1,16,2020-02-01 00:00:00+00:00
321,64,0,1,63,2020-02-01 00:00:00+00:00
322,7,0,0,7,2020-02-01 00:00:00+00:00
323,26,0,0,26,2020-02-01 00:00:00+00:00
324,9,0,0,9,2020-02-01 00:00:00+00:00
325,101,0,0,101,2020-02-01 00:00:00+00:00
326,206,0,3,203,2020-02-01 00:00:00+00:00
327,169,1,10,158,2020-02-01 00:00:00+00:00
328,47,0,1,46,2020-02-01 00:00:00+00:00
329,207,1,3,203,2020-02-01 00:00:00+00:00
330,41,0,0,41,2020-02-01 00:00:00+00:00
331,1,0,0,1,2020-02-01 00:00:00+00:00
332,18,0,0,18,2020-02-01 00:00:00+00:00
333,93,0,2,91,2020-02-01 00:00:00+00:00
334,599,0,21,578,2020-02-01 00:00:00+00:00
335,297,0,5,292,2020-02-01 00:00:00+00:00
336,168,1,9,158,2020-02-01 00:00:00+00:00
337,247,1,3,243,2020-02-01 00:00:00+00:00
338,144,0,0,144,2020-02-01 00:00:00+00:00
339,40,0,0,40,2020-02-01 00:00:00+00:00
340,535,0,14,521,2020-02-01 00:00:00+00:00
341,100,0,2,98,2020-02-01 00:00:00+00:00
342,29,0,2,27,2020-02-01 00:00:00+00:00
343,62,1,1,60,2020-02-01 00:00:00+00:00
344,340,0,7,333,2020-02-02 00:00:00+00:00
345,191,1,9,181,2020-02-02 00:00:00+00:00
346,300,2,7,291,2020-02-02 00:00:00+00:00
347,159,0,0,159,2020-02-02 00:00:00+00:00
348,51,0,3,48,2020-02-02 00:00:00+00:00
349,632,0,15,617,2020-02-02 00:00:00+00:00
350,111,0,2,109,2020-02-02 00:00:00+00:00
351,38,0,2,36,2020-02-02 00:00:00+00:00
352,64,1,4,59,2020-02-02 00:00:00+00:00
353,23,0,1,22,2020-02-02 00:00:00+00:00
354,70,0,1,69,2020-02-02 00:00:00+00:00
355,8,0,0,8,2020-02-02 00:00:00+00:00
356,28,0,0,28,2020-02-02 00:00:00+00:00
357,11,0,0,11,2020-02-02 00:00:00+00:00
358,116,0,0,116,2020-02-02 00:00:00+00:00
359,230,0,6,224,2020-02-02 00:00:00+00:00
360,182,1,10,171,2020-02-02 00:00:00+00:00
361,66,0,3,63,2020-02-02 00:00:00+00:00
362,104,1,3,100,2020-02-02 00:00:00+00:00
363,95,2,2,91,2020-02-02 00:00:00+00:00
364,493,2,10,481,2020-02-02 00:00:00+00:00
365,15,0,0,15,2020-02-02 00:00:00+00:00
366,11177,350,295,10532,2020-02-02 00:00:00+00:00
367,463,0,16,447,2020-02-02 00:00:00+00:00
368,27,0,1,26,2020-02-02 00:00:00+00:00
369,236,0,7,229,2020-02-02 00:00:00+00:00
370,333,0,12,321,2020-02-02 00:00:00+00:00
371,231,1,11,219,2020-02-02 00:00:00+00:00
372,48,0,1,47,2020-02-02 00:00:00+00:00
373,1,0,0,1,2020-02-02 00:00:00+00:00
374,21,0,0,21,2020-02-02 00:00:00+00:00
375,105,0,3,102,2020-02-02 00:00:00+00:00
376,661,0,32,629,2020-02-02 00:00:00+00:00
377,254,1,14,239,2020-02-03 00:00:00+00:00
378,60,0,1,59,2020-02-03 00:00:00+00:00
379,1,0,0,1,2020-02-03 00:00:00+00:00
380,24,0,0,24,2020-02-03 00:00:00+00:00
381,117,0,5,112,2020-02-03 00:00:00+00:00
382,724,0,43,681,2020-02-03 00:00:00+00:00
383,31,0,1,30,2020-02-03 00:00:00+00:00
384,74,0,1,73,2020-02-03 00:00:00+00:00
385,8,0,0,8,2020-02-03 00:00:00+00:00
386,31,0,1,30,2020-02-03 00:00:00+00:00
387,13,0,0,13,2020-02-03 00:00:00+00:00
388,128,0,0,128,2020-02-03 00:00:00+00:00
389,259,0,7,252,2020-02-03 00:00:00+00:00
390,203,1,10,192,2020-02-03 00:00:00+00:00
391,74,0,2,72,2020-02-03 00:00:00+00:00
392,408,0,14,394,2020-02-03 00:00:00+00:00
393,212,1,12,199,2020-02-03 00:00:00+00:00
394,337,2,9,326,2020-02-03 00:00:00+00:00
395,179,0,1,178,2020-02-03 00:00:00+00:00
396,55,0,3,52,2020-02-03 00:00:00+00:00
397,725,0,21,704,2020-02-03 00:00:00+00:00
398,127,0,7,120,2020-02-03 00:00:00+00:00
399,46,0,2,44,2020-02-03 00:00:00+00:00
400,72,1,4,67,2020-02-03 00:00:00+00:00
401,113,1,3,109,2020-02-03 00:00:00+00:00
402,121,2,2,117,2020-02-03 00:00:00+00:00
403,566,2,16,548,2020-02-03 00:00:00+00:00
404,15,0,0,15,2020-02-03 00:00:00+00:00
405,13522,414,386,12722,2020-02-03 00:00:00+00:00
406,521,0,22,499,2020-02-03 00:00:00+00:00
407,34,0,1,33,2020-02-03 00:00:00+00:00
408,271,0,8,263,2020-02-03 00:00:00+00:00
409,391,0,18,373,2020-02-03 00:00:00+00:00
410,126,1,4,121,2020-02-04 00:00:00+00:00
411,155,2,4,149,2020-02-04 00:00:00+00:00
412,675,2,27,646,2020-02-04 00:00:00+00:00
413,17,1,0,16,2020-02-04 00:00:00+00:00
414,16678,479,522,15677,2020-02-04 00:00:00+00:00
415,593,0,31,562,2020-02-04 00:00:00+00:00
416,35,0,1,34,2020-02-04 00:00:00+00:00
417,308,0,12,296,2020-02-04 00:00:00+00:00
418,476,0,20,456,2020-02-04 00:00:00+00:00
419,42,0,1,41,2020-02-04 00:00:00+00:00
420,81,0,2,79,2020-02-04 00:00:00+00:00
421,10,0,0,10,2020-02-04 00:00:00+00:00
422,34,0,1,33,2020-02-04 00:00:00+00:00
423,15,0,0,15,2020-02-04 00:00:00+00:00
424,142,0,2,140,2020-02-04 00:00:00+00:00
425,275,0,11,264,2020-02-04 00:00:00+00:00
426,219,1,12,206,2020-02-04 00:00:00+00:00
427,81,0,4,77,2020-02-04 00:00:00+00:00
428,282,1,14,267,2020-02-04 00:00:00+00:00
429,67,0,2,65,2020-02-04 00:00:00+00:00
430,1,0,0,1,2020-02-04 00:00:00+00:00
431,29,0,0,29,2020-02-04 00:00:00+00:00
432,122,0,5,117,2020-02-04 00:00:00+00:00
433,829,0,62,767,2020-02-04 00:00:00+00:00
434,480,0,20,460,2020-02-04 00:00:00+00:00
435,228,1,23,204,2020-02-04 00:00:00+00:00
436,366,2,9,355,2020-02-04 00:00:00+00:00
437,194,0,3,191,2020-02-04 00:00:00+00:00
438,57,0,4,53,2020-02-04 00:00:00+00:00
439,813,0,30,783,2020-02-04 00:00:00+00:00
440,139,0,10,129,2020-02-04 00:00:00+00:00
441,58,0,2,56,2020-02-04 00:00:00+00:00
442,80,1,5,74,2020-02-04 00:00:00+00:00
443,530,0,23,507,2020-02-05 00:00:00+00:00
444,253,1,24,228,2020-02-05 00:00:00+00:00
445,389,2,15,372,2020-02-05 00:00:00+00:00
446,205,0,11,194,2020-02-05 00:00:00+00:00
447,62,0,6,56,2020-02-05 00:00:00+00:00
448,895,0,49,846,2020-02-05 00:00:00+00:00
449,150,0,13,137,2020-02-05 00:00:00+00:00
450,64,1,9,54,2020-02-05 00:00:00+00:00
451,99,1,5,93,2020-02-05 00:00:00+00:00
452,54,0,2,52,2020-02-05 00:00:00+00:00
453,89,0,4,85,2020-02-05 00:00:00+00:00
454,10,0,0,10,2020-02-05 00:00:00+00:00
455,34,0,1,33,2020-02-05 00:00:00+00:00
456,17,0,3,14,2020-02-05 00:00:00+00:00
457,165,0,6,159,2020-02-05 00:00:00+00:00
458,307,0,15,292,2020-02-05 00:00:00+00:00
459,243,1,15,227,2020-02-05 00:00:00+00:00
460,81,0,5,76,2020-02-05 00:00:00+00:00
461,135,1,6,128,2020-02-05 00:00:00+00:00
462,190,2,7,181,2020-02-05 00:00:00+00:00
463,764,2,47,715,2020-02-05 00:00:00+00:00
464,21,1,0,20,2020-02-05 00:00:00+00:00
465,19665,549,633,18483,2020-02-05 00:00:00+00:00
466,661,0,54,607,2020-02-05 00:00:00+00:00
467,42,0,3,39,2020-02-05 00:00:00+00:00
468,341,0,23,318,2020-02-05 00:00:00+00:00
469,548,0,27,521,2020-02-05 00:00:00+00:00
470,301,1,24,276,2020-02-05 00:00:00+00:00
471,69,1,2,66,2020-02-05 00:00:00+00:00
472,1,0,0,1,2020-02-05 00:00:00+00:00
473,32,0,0,32,2020-02-05 00:00:00+00:00
474,128,0,5,123,2020-02-05 00:00:00+00:00
475,895,0,78,817,2020-02-05 00:00:00+00:00
476,321,1,31,289,2020-02-06 00:00:00+00:00
477,79,1,2,76,2020-02-06 00:00:00+00:00
478,1,0,0,1,2020-02-06 00:00:00+00:00
479,36,0,0,36,2020-02-06 00:00:00+00:00
480,133,0,7,126,2020-02-06 00:00:00+00:00
481,954,0,94,860,2020-02-06 00:00:00+00:00
482,59,0,4,55,2020-02-06 00:00:00+00:00
483,94,0,5,89,2020-02-06 00:00:00+00:00
484,10,0,1,9,2020-02-06 00:00:00+00:00
485,40,0,1,39,2020-02-06 00:00:00+00:00
486,18,0,3,15,2020-02-06 00:00:00+00:00
487,173,0,9,164,2020-02-06 00:00:00+00:00
488,347,0,27,320,2020-02-06 00:00:00+00:00
489,257,1,25,231,2020-02-06 00:00:00+00:00
490,96,0,12,84,2020-02-06 00:00:00+00:00
491,591,0,34,557,2020-02-06 00:00:00+00:00
492,274,1,31,242,2020-02-06 00:00:00+00:00
493,411,2,24,385,2020-02-06 00:00:00+00:00
494,215,0,14,201,2020-02-06 00:00:00+00:00
495,62,0,6,56,2020-02-06 00:00:00+00:00
496,970,0,69,901,2020-02-06 00:00:00+00:00
497,168,0,14,154,2020-02-06 00:00:00+00:00
498,71,1,6,64,2020-02-06 00:00:00+00:00
499,106,1,8,97,2020-02-06 00:00:00+00:00
500,157,1,13,143,2020-02-06 00:00:00+00:00
501,227,3,8,216,2020-02-06 00:00:00+00:00
502,851,2,56,793,2020-02-06 00:00:00+00:00
503,24,1,0,23,2020-02-06 00:00:00+00:00
504,22112,618,817,20677,2020-02-06 00:00:00+00:00
505,711,0,81,630,2020-02-06 00:00:00+00:00
506,46,0,4,42,2020-02-06 00:00:00+00:00
507,373,0,34,339,2020-02-06 00:00:00+00:00
508,600,0,37,563,2020-02-06 00:00:00+00:00
